STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,YEAR,PRCP.mm,TEMP.max,TEMP.min,TEMP.avg
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/15/2015,2015,0,75,57,66
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/16/2015,2015,3.3,69,54,61.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/17/2015,2015,0,76,52,64
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/18/2015,2015,0,63,44,53.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/19/2015,2015,0,46,39,42.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/20/2015,2015,0,52,39,45.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/21/2015,2015,8.9,65,36,50.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/22/2015,2015,0,57,44,50.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/23/2015,2015,5.1,60,52,56
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/24/2015,2015,0,66,58,62
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/29/2015,2015,0,76,51,63.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/30/2015,2015,0,69,47,58
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,5/31/2015,2015,0,73,43,58
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/1/2015,2015,0,78,56,67
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/3/2015,2015,22.4,84,59,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/4/2015,2015,16.3,79,60,69.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/5/2015,2015,25.4,79,60,69.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/6/2015,2015,34,86,64,75
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/7/2015,2015,0,79,64,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/8/2015,2015,0,87,61,74
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/9/2015,2015,0,94,64,79
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/10/2015,2015,0,93,65,79
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/11/2015,2015,46.2,75,60,67.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/12/2015,2015,0,64,58,61
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/14/2015,2015,0,80,63,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/15/2015,2015,4.8,73,60,66.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/16/2015,2015,0,78,55,66.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/17/2015,2015,28.2,83,59,71
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/18/2015,2015,0,72,59,65.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/19/2015,2015,20.6,81,56,68.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/21/2015,2015,0,84,63,73.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/22/2015,2015,0,86,66,76
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/23/2015,2015,0,73,56,64.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/27/2015,2015,0,86,57,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/28/2015,2015,0,87,60,73.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/29/2015,2015,0,88,58,73
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,6/30/2015,2015,0,94,65,79.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/1/2015,2015,0,86,65,75.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/2/2015,2015,8.9,83,65,74
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/3/2015,2015,0,79,62,70.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/5/2015,2015,0,95,69,82
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/6/2015,2015,21.6,84,62,73
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/9/2015,2015,0,79,57,68
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/10/2015,2015,0,81,62,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/11/2015,2015,1.8,90,64,77
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/12/2015,2015,0,95,71,83
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/15/2015,2015,0,83,68,75.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/16/2015,2015,0,87,69,78
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/17/2015,2015,6.9,93,67,80
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/22/2015,2015,0,80,63,71.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/23/2015,2015,0,89,65,77
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/24/2015,2015,0,93,67,80
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/25/2015,2015,24.1,81,68,74.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/26/2015,2015,0,91,70,80.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/29/2015,2015,0,81,56,68.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/30/2015,2015,0,87,57,72
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,7/31/2015,2015,0,91,67,79
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/1/2015,2015,6.6,86,64,75
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/2/2015,2015,0,92,65,78.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/6/2015,2015,0,79,63,71
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/7/2015,2015,0,88,66,77
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/8/2015,2015,22.6,83,66,74.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/9/2015,2015,0,87,68,77.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/12/2015,2015,0,82,62,72
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/13/2015,2015,0,83,64,73.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/14/2015,2015,0,85,64,74.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/17/2015,2015,6.4,70,62,66
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/18/2015,2015,0,72,51,61.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/21/2015,2015,0,87,60,73.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/22/2015,2015,0,87,60,73.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/23/2015,2015,0,74,48,61
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/26/2015,2015,0,88,56,72
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,2015/08/27\,27\,0,86,67,76.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/30/2015,2015,0,79,60,69.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,8/31/2015,2015,0,90,59,74.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/1/2015,2015,0,90,64,77
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/2/2015,2015,0,93,68,80.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/7/2015,2015,0,83,64,73.5
